alpha3,alpha2
MRT,MR
MUS,MU
MAR,MA
MOZ,MZ
NAM,NA
GRD,GD
NER,NE
NGA,NG
UGA,UG
RWA,RW
SLB,SB
CAN,CA
JPN,JP
SYC,SC
FRO,FO
SOM,SO
SDN,SD
SWZ,SZ
IRL,IE
HUN,HU
ESP,ES
USA,US
BEL,BE
LUX,LU
FIN,FI
SWE,SE
DNK,DK
POL,PL
GTM,GT
ITA,IT
CHE,CH
AUT,AT
GRC,GR
TUR,TR
PRT,PT
NA,AQ
NLD,NL
ALA,AX
TLS,TL
PLW,PW
SJM,SJ
EGY,EG
SHN,SH
BMU,BM
NRU,NR
STP,ST
LTU,LT
MEX,MX
SEN,SN
ESH,EH
DOM,DO
KEN,KE
ETH,ET
GLP,GP
GHA,GH
SLE,SL
NOR,NO
EST,EE
HMD,HM
VUT,VU
AIA,AI
FRA,FR
GBR,GB
CHN,CN
NZL,NZ
CYM,KY
BRA,BR
IND,IN
MTQ,MQ
PRI,PR
TUV,TV
SXM,SX
CCK,CC
TON,TO
MYT,YT
WSM,WS
MAF,MF
REU,RE
PNG,PG
DEU,DE
BLR,BY
GUF,GF
ISL,IS
FSM,FM
CUW,CW
MHL,MH
KIR,KI
MNG,MN
FJI,FJ
VEN,VE
ABW,AW
UKR,UA
CZE,CZ
SVK,SK
SVN,SI
MDA,MD
ROU,RO
BGR,BG
MKD,MK
ALB,AL
GRL,GL
ECU,EC
BIH,BA
COL,CO
AND,AD
CYP,CY
GEO,GE
KAZ,KZ
MLT,MT
MCO,MC
MNE,ME
VAT,VA
BOL,BO
CUB,CU
BLZ,BZ
LVA,LV
BRB,BB
VCT,VC
WLF,WF
MSR,MS
LCA,LC
GUM,GU
IDN,ID
JOR,JO
JAM,JM
ASM,AS
ZAF,ZA
MNP,MP
UMI,UM
DZA,DZ
UZB,UZ
BHS,BS
TKL,TK
ATG,AG
SGS,GS
HND,HN
DMA,DM
JEY,JE
BLM,BL
HTI,HT
VGB,VG
SLV,SV
IRN,IR
IRQ,IQ
SUR,SR
CRI,CR
ISR,IL
PAN,PA
YEM,YE
CHL,CL
NIC,NI
KGZ,KG
PRY,PY
KWT,KW
LAO,LA
GUY,GY
LBN,LB
PYF,PF
SPM,PM
MDV,MV
TUN,TN
HRV,HR
SAU,SA
MMR,MM
NPL,NP
OMN,OM
PAK,PK
QAT,QA
NFK,NF
AZE,AZ
GGY,GG
LKA,LK
CXR,CX
PCN,PN
NIU,NU
SYR,SY
LIE,LI
TJK,TJ
YUG,YU
TWN,TW
THA,TH
TCD,TD
TKM,TM
COK,CK
ARE,AE
BVT,BV
VNM,VN
KOR,KR
AFG,AF
GIB,GI
TCA,TC
BGD,BD
MYS,MY
BHR,BH
ARM,AM
MLI,ML
SRB,RS
AGO,AO
BTN,BT
AUS,AU
BRN,BN
TZA,TZ
ARG,AR
PHL,PH
CAF,CF
PER,PE
PRK,KP
KHM,KH
BES,BQ
TTO,TT
FLK,FK
TGO,TG
PSE,PS
MAC,MO
SMR,SM
VIR,VI
IOT,IO
ZMB,ZM
ZWE,ZW
RUS,RU
SSD,SS
BEN,BJ
BWA,BW
BFA,BF
HKG,HK
BDI,BI
COM,KM
COG,CG
IMN,IM
COD,CD
URY,UY
DJI,DJ
SGP,SG
GNQ,GQ
ERI,ER
ATA,AQ
KNA,KN
GAB,GA
NCL,NC
ATF,TF
GMB,GM
GIN,GN
GNB,GW
CIV,CI
CMR,CM
CPV,CV
LSO,LS
LBR,LR
LBY,LY
MDG,MG
MWI,MW
