type	edits	hour
desktop	0.0482047169969765	11
desktop	0.03020994241021	8
desktop	0.0242532555478566	3
desktop	0.0501403247817828	13
desktop	0.0400377587137232	0
desktop	0.0542692797465067	15
desktop	0.0523850045195906	14
desktop	0.0539079708868604	18
desktop	0.0492547950939511	12
desktop	0.0516117002058039	20
desktop	0.0222522332031215	4
desktop	0.0517141500004522	22
desktop	0.0523815593814771	21
desktop	0.0273469034452673	2
desktop	0.0326407887988224	1
desktop	0.0551990794590961	17
desktop	0.046859433627907	23
desktop	0.0523476247710598	19
desktop	0.0252575994363754	7
desktop	0.0553510961783514	16
desktop	0.0227007901854905	6
desktop	0.0367378331717707	9
desktop	0.0434487468956076	10
desktop	0.0214874125419392	5
mobile	0.0502306347304401	18
mobile	0.0474448588333858	13
mobile	0.0510986962568802	20
mobile	0.0257598289739953	5
mobile	0.0305486121333265	2
mobile	0.0414853619513913	0
mobile	0.0489044678342622	23
mobile	0.0510106519816153	22
mobile	0.0393736750368342	10
mobile	0.0512816632664151	21
mobile	0.0279114109507819	3
mobile	0.0277146870232368	6
mobile	0.0361779429830776	1
mobile	0.0270309681981326	4
mobile	0.0496349601806008	19
mobile	0.052609205854394	17
mobile	0.0524510012972774	15
mobile	0.0359371969179001	9
mobile	0.0519653820915193	16
mobile	0.0523299404187881	14
mobile	0.04593159785227	12
mobile	0.0457761446787553	11
mobile	0.0279361734032001	7
mobile	0.0294549371515201	8
